melid,type
1,SOLO
2,SOLO
3,SOLO
4,SOLO
5,SOLO
6,SOLO
7,SOLO
8,SOLO
9,SOLO
10,SOLO
11,SOLO
12,SOLO
13,SOLO
14,SOLO
15,SOLO
16,SOLO
17,SOLO
18,SOLO
19,SOLO
20,SOLO
21,SOLO
22,SOLO
23,SOLO
24,SOLO
25,SOLO
26,SOLO
27,SOLO
28,SOLO
29,SOLO
30,SOLO
31,SOLO
32,SOLO
33,SOLO
34,SOLO
35,SOLO
36,SOLO
37,SOLO
38,SOLO
39,SOLO
40,SOLO
41,SOLO
42,SOLO
43,SOLO
44,SOLO
45,SOLO
46,SOLO
47,SOLO
48,SOLO
49,SOLO
50,SOLO
51,SOLO
52,SOLO
53,SOLO
54,SOLO
55,SOLO
56,SOLO
57,SOLO
58,SOLO
59,SOLO
60,SOLO
61,SOLO
62,SOLO
63,SOLO
64,SOLO
65,SOLO
66,SOLO
67,SOLO
68,SOLO
69,SOLO
70,SOLO
71,SOLO
72,SOLO
73,SOLO
74,SOLO
75,SOLO
76,SOLO
77,SOLO
78,SOLO
79,SOLO
80,SOLO
81,SOLO
82,SOLO
83,SOLO
84,SOLO
85,SOLO
86,SOLO
87,SOLO
88,SOLO
89,SOLO
90,SOLO
91,SOLO
92,SOLO
93,SOLO
94,SOLO
95,SOLO
96,SOLO
97,SOLO
98,SOLO
99,SOLO
100,SOLO
101,SOLO
102,SOLO
103,SOLO
104,SOLO
105,SOLO
106,SOLO
107,SOLO
108,SOLO
109,SOLO
110,SOLO
111,SOLO
112,SOLO
113,SOLO
114,SOLO
115,SOLO
116,SOLO
117,SOLO
118,SOLO
119,SOLO
120,SOLO
121,SOLO
122,SOLO
123,SOLO
124,SOLO
125,SOLO
126,SOLO
127,SOLO
128,SOLO
129,SOLO
130,SOLO
131,SOLO
132,SOLO
133,SOLO
134,SOLO
135,SOLO
136,SOLO
137,SOLO
138,SOLO
139,SOLO
140,SOLO
141,SOLO
142,SOLO
143,SOLO
144,SOLO
145,SOLO
146,SOLO
147,SOLO
148,SOLO
149,SOLO
150,SOLO
151,SOLO
152,SOLO
153,SOLO
154,SOLO
155,SOLO
156,SOLO
157,SOLO
158,SOLO
159,SOLO
160,SOLO
161,SOLO
162,SOLO
163,SOLO
164,SOLO
165,SOLO
166,SOLO
