compid,title,composer,form,template,tonalitytype,genre
1,Anthropology,"Parker, Gillespie",A8A8B8A8,I Got Rhythm,FUNCTIONAL,ORIGINAL
2,Blues for Blanche,Art Pepper,A12,Blues,BLUES,ORIGINAL
3,Desafinado,Antonio Carlos Jobim,A1612B8C8,,FUNCTIONAL,ORIGINAL
4,In a Mellow Tone,Duke Ellington,A16B16,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
5,Stardust,"Parish, Carmichael",A16B16,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
6,I Got It Bad,Ellington/Webster,A8A8B8A8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
7,It's a Wonderful World,Oscar Peterson,A4A4B4A4,,FUNCTIONAL,ORIGINAL
8,Just Friends,Klenner/Lewis,A16B16,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
9,Long Ago and Far Away,Kern/Gershwin,A8B8A8C8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
10,Sweet Lorraine,Mitchel Parish / Cliff Burwell,A8A8B8A8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
11,Avalon,Jolson/Rose,A8A8B8A8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
12,Handful of Keys,,A8A8B8A8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
13,Nobody's Sweetheart,Kahn/Erdman/Meyers/Schoebell,A24B16C24,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
14,Runnin' Wild,Grey/Wood/Gibs,A8A8B8B8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
15,Tiger Rag,"La Rocca, Shields",A16B16,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
16,Whispering,Schonberger/Coburn/Rose,A16B16,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
17,Bye Bye Blackbird,Dixon-Henderson,A16B16,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
18,Did You Call Her Today,Ben Webster,A8B8A8C8,,FUNCTIONAL,ORIGINAL
19,My Ideal,Chase-Withing-Robin,A8A8B8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
20,Night and Day,C. Porter,A8B8A8B8C8B8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
21,Where or When,"Rodgers, Hart",A10A10B8A12,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
22,I'm Coming Virginia,Heywood,A8B8C8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
23,Margie,Davis/Conrad/Robinson,A8B8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
24,Riverboat Shuffle,Voynow/Carmichael/Mills/Parish,A16B16,,FUNCTIONAL,ORIGINAL
25,Royal Garden Blues,C. & S. Williams,A12,Blues,BLUES,GREAT AMERICAN SONGBOOK
26,Singin the Blues,Robinson/Conrad,A8A8B8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
27,Angles,Bob Berg,A16A16B16,,COLOR,ORIGINAL
28,Blues for Bela,Bob Berg,A12,Blues,BLUES,ORIGINAL
29,I Didn't Know What Time It Was,Lorenz Hart/Richard Rogers,A8A8B8C12,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
30,Nature of the Beast,Bob Berg,A8A8A8A10B8,,MODAL,ORIGINAL
31,No Moe,Sonny Rollins,A8A8B8A8,I Got Rhythm,FUNCTIONAL,ORIGINAL
32,Second Sight,Bob Berg,A16B16C10,,FUNCTIONAL,ORIGINAL
33,You and the Night and the Music,Bob Berg,A8A8B8C12,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
34,Gutbucket Steepy,"Hinton, B.Marsalis, Watts",A12,Blues,BLUES,ORIGINAL
35,Housed from Edward,B. Marsalis,A12,Blues,BLUES,ORIGINAL
36,The Nearness of You,B. Marsalis,A8A8B8C12,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
37,Three Little Words,"Harry Ruby, Bert Kalmar",A8A8B8A8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
38,U.M.M.G.,Billy Strayhorn,A8A8B8A8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
39,After Theatre Jump,Wells,A8A8B8A8,I Got Rhythm,FUNCTIONAL,ORIGINAL
40,Destination K.C.,Clayton,A8A8B8A8,I Got Rhythm,FUNCTIONAL,ORIGINAL
41,Dickie's Dream,Basie-Young,A8A8B8A8,,FUNCTIONAL,ORIGINAL
42,High Fly,Randy Weston,A8A8B8C8,,FUNCTIONAL,ORIGINAL
43,So What,Davis/Evans,A8A8B8A8,So What,MODAL,ORIGINAL
44,Star Eyes,Raye/DePaul,A8A8B8C12,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
45,This Here,Bobby Timmons,A16B12C10,Blues,BLUES,ORIGINAL
46,Work Song,Nat Adderley,A16,,FUNCTIONAL,ORIGINAL
47,Billie's Bounce,Charlie Parker,A12,Blues,BLUES,ORIGINAL
48,Blues for Alice,Charlie Parker,A12,Blues,BLUES,ORIGINAL
49,Don't Blame Me,Fields/McHugh,A8A8B8A8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
50,Donna Lee,Miles Daivs,A16B16,,FUNCTIONAL,ORIGINAL
51,Embraceable You,G. Gershwin,A16B16,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
52,How Deep Is the Ocean,Berlin,A8B8A8C8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
53,K.C. Blues,Parker,A12,Blues,BLUES,ORIGINAL
54,Ko-Ko,Parker,A16A16B16A16,Cherokee,FUNCTIONAL,ORIGINAL
55,My Little Suede Shoes,Parker,A8A8B8A8,,FUNCTIONAL,ORIGINAL
56,Ornithology,Parker,A16B16,How High The Moon,FUNCTIONAL,ORIGINAL
57,Out of Nowhere,"Heyman, Green",A16B16,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
58,Scrapple from the Apple,Parker,A8A8B8A8,,FUNCTIONAL,ORIGINAL
59,Segment,Parker,A8A8B8A8,,FUNCTIONAL,ORIGINAL
60,Steeplechase,Parker,A8A8B8A8,I Got Rhythm,FUNCTIONAL,ORIGINAL
61,Thriving on a Riff,Parker/Gillespie,A8A8B8A8,I Got Rhythm,FUNCTIONAL,ORIGINAL
62,Yardbird Suite,Parker,A8A8B8A8,,FUNCTIONAL,ORIGINAL
63,Limehouse Blues,"Braham, Furber",A16B16C16D16,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
64,I Fall in Love Too Easily,Cahn/Styne,A8B8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
65,Let's Get Lost,Loesser / McHugh,A8B8A8C8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
66,There Will Never Be Another You,Gordon/Warren,A16B16,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
67,Two's Blues,Jim Hall,A12,Blues,BLUES,ORIGINAL
68,You'd Be So Nice to Come Home to,Cole Porter,A16B16,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
69,Arjuna,Chris Potter,open,,MODAL,ORIGINAL
70,In a Sentimental Mood,D. Ellington/H. Dietz/ M. Kutz/I. Mills/A. Schwartz,A8A8B8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
71,"Item 1, D.I.T.",Steve Swallow,A16,,FUNCTIONAL,ORIGINAL
72,Pop Tune #1,Chris Potter,open,,MODAL,ORIGINAL
73,Rumples,Chris Potter,open,,MODAL,ORIGINAL
74,Togo,Ed Blackwell,open,,MODAL,ORIGINAL
75,Body and Soul,"Heyman, Sour, Eyton, Green",A8A8B8A8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
76,A Night in Tunisia,Dizzie Gillespie,A8A8B8A8,,FUNCTIONAL,ORIGINAL
77,Daahoud,Clifford Brown,A8A8B8A8,,FUNCTIONAL,ORIGINAL
78,George's Dilemma,Clifford Brown,A16B8A8,,FUNCTIONAL,ORIGINAL
79,I'll Remember April,Raye/DePaul/Johnston,A16B16A16,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
80,Jordu,Duke Jordan,A8A8B8A8,,FUNCTIONAL,ORIGINAL
81,Joy Spring,Clifford Brown,A16B8C8,,FUNCTIONAL,ORIGINAL
82,Sandu,Clifford Brown,A12,Blues,BLUES,ORIGINAL
83,Stompin' at the Savoy,"Goodman, Webb, Samson",A16B8A8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
84,It's Only a Papermoon,"Arlen, Rose, Harburg",A8A8B8A8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
85,My Blue Heaven,"Whiting, Donaldson",A8A8B8A8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
86,Perdido,Tizol,A8A8B8A8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
87,Sophisticated Lady,Ellington,A8A8B8A8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
88,Blue Train,John Coltrane,A12,Blues,BLUES,ORIGINAL
