Title,Composed by,Year,Length,Time,Form,Style,Common Key
Airegin,Sonny Rollins,1954,36 bars,4/4,ABAC,Bebop,F-
All Blues,Miles Davis,1959,24 bars,3/4,,Jazz Waltz,G
All Of Me,Gerald Marks,1931,32 bars,4/4,ABAC,Swing,C
All Of You,Cole Porter,1954,32 bars,4/4,ABAC,Swing,Eb
All The Things You Are,Jerome Kern,1939,36 bars,4/4,ABCD,Swing,Ab
Alone Together,Arthur Schwartz,1932,44 bars,4/4,AABA,Swing,D-
Angel Eyes,Matt Dennis,1946,32 bars,4/4,AABA,Swing,C-
Autumn Leaves,Joseph Kosma,1945,32 bars,4/4,AABC,Swing,G-
Bags Groove,Milt Jackson,1954,12 bars,4/4,,Blues,F
Billie's Bounce,Charlie Parker,1954,12 bars,4/4,,Blues,F
Blue Bossa,Kenny Dorham,1963,16 bars,4/4,,Bossa,C-
Blue In Green,Bill Evans,1959,10 bars,4/4,,Ballad,D-
Blue Monk,Thelonious Monk,1954,12 bars,4/4,,Blues,Bb
Bluesette,Toots Thielemans,1961,24 bars,3/4,,Jazz Waltz,Bb
Body And Soul,Johnny Green,1930,32 bars,4/4,AABA,Ballad,C#
But Beautiful,Jimmy Van Heusen,1947,32 bars,4/4,ABAC,Ballad,G
But Not For Me,George Gershwin,1930,32 bars,4/4,ABAC,Swing,Eb
Bye Bye Blackbird,Ray Henderson,1926,32 bars,4/4,AABA,Swing,F
Caravan,Duke Ellington,1936,64 bars,4/4,AABA,Latin/Swing,G
Cherokee,Ray Noble,1938,64 bars,4/4,AABA,Swing,Bb
Come Rain Or Come Shine,Harold Arlen,1946,32 bars,4/4,AB,Swing,F
Confirmation,Charlie Parker,1946,32 bars,4/4,AABA,Bebop,F
Corcovado,Antonio Carlos Jobim,1960,34 bars,4/4,ABAC,Bossa,A-
Darn That Dream,Jimmy Van Heusen,1939,32 bars,4/4,AABA,Swing,G
Days Of Wine And Roses,Henry Mancini,1962,32 bars,4/4,ABAC,Swing,F
Desafinado,Antonio Carlos Jobim,1959,68 bars,4/4,AABC,Bossa,F
Donna Lee,Charlie Parker,1947,32 bars,4/4,AB,Bebop,Ab
Don't Get Around Much Anymore,Duke Ellington,1940,32 bars,4/4,AABA,Swing,C
Embraceable You,George Gershwin,1930,32 bars,4/4,ABAC,Swing,G
Fly Me To The Moon,Bart Howard,1954,32 bars,4/4,ABAC,Swing,C
Footprints,Wayne Shorter,1966,24 bars,3/4,,Jazz Waltz,C-
Georgia On My Mind,Hoagy Carmichael,1930,32 bars,4/4,AABA,Swing,F
Giant Steps,John Coltrane,1959,24 bars,4/4,,Swing,Eb
The Girl From Ipanema,Antonio Carlos Jobim,1962,40 bars,4/4,AABA,Bossa,F
Groovin High,Dizzie Gillespie,1944,32 bars,4/4,AB,Bebop,Eb
Have You Met Miss Jones,Richard Rodgers,1937,32 bars,4/4,AABA,Swing,F
Here's That Rainy Day,Jimmy Van Heusen,1953,32 bars,4/4,AABA,Swing,G
Honeysuckle Rose,Fats Waller,1929,32 bars,4/4,AABA,Swing,F
Hot House,Tadd Dameron,1945,32 bars,4/4,AABA,Bebop,C
How Deep Is The Ocean,Irving Berlin,1932,32 bars,4/4,ABAC,Swing,Eb
How High The Moon,Morgan Lewis,1940,32 bars,4/4,ABAC,Swing,G
How Insensitive,Antonio Carlos Jobim,1963,32 bars,4/4,AB,Bossa,D-
I Can't Get Started,Vernon Duke,1935,32 bars,4/4,AABA,Swing,C
I Got Rhythm,George Gershwin,1930,32 bars,4/4,AABA,Swing,Bb
I Hear A Rhapsody,"George Fragos,Jack Baker,Dick Gasparre",1940,32 bars,4/4,AABA,Swing,Eb
I Love You,Cole Porter,1944,32 bars,4/4,AB,Swing,F
I Mean You,Thelonious Monk,1947,32 bars,4/4,AABA,Swing,F
I Should Care,"Axel Stordahl,Paul Weston,Sammy Cahn",1944,32 bars,4/4,ABAC,Swing,C
I Thought About You,Jimmy Van Heusen,1939,32 bars,4/4,ABAC,Swing,F
I'll Remember April,"Gene De Paul,Patricia Johnston,Don Raye",1941,32 bars,4/4,AB,Swing,G
Impressions,John Coltrane,1961,32 bars,4/4,AABA,Swing,D-
In A Mellow Tone,Duke Ellington,1940,32 bars,4/4,ABAC,Swing,Ab
In A Sentimental Mood,Duke Ellington,1935,32 bars,4/4,AABA,Ballad,D-
In Your Own Sweet Way,Dave Brubeck,1955,46 bars,4/4,AABAC,Swing,Eb
