yt_id,standard,composer,artist,album,year,instrumentation,youtube_url,youtube_title,youtube_channel,notes,source,recording_mbid
WvRqfh5kETw,Airegin,Sonny Rollins,Miles Davis Quintet,Cookin’ With the Miles Davis Quintet,1957,quintet,https://www.youtube.com/watch?v=WvRqfh5kETw,3   Airegin by Miles Davis from 'Cookin' With The Miles Davis Quintet',Miles Davis,The original recording session with Sonny Rollins; the definitive version,musicbrainz,ef30a74f-2394-4eff-ada4-1cbc9c43c223
v7PU7e6ZJe4,Airegin,Sonny Rollins,Sonny Rollins,"Great Jazz Giants: Smooth Jazz, Volume 2",2005,tenor saxophone with rhythm section,https://www.youtube.com/watch?v=v7PU7e6ZJe4,Sonny Rollins - Airegin,Okmusix,The composer's own statement of his tune,musicbrainz,b67b49b1-455b-4296-9042-afd5ce71e989
RLIgJ7t_O2k,Airegin,Sonny Rollins,Wes Montgomery,The Incredible Jazz Guitar of Wes Montgomery,1960,guitar quartet,https://www.youtube.com/watch?v=RLIgJ7t_O2k,Wes Montgomery - Airegin (Official Audio),Wes Montgomery,Landmark guitar interpretation with octave runs,musicbrainz,d68580d7-35ad-458e-a417-a62f66e30e82
5v8VL-_k4U0,Airegin,Sonny Rollins,Stan Getz Quartet,The Vancouver Concert 1965,2008,tenor saxophone quartet,https://www.youtube.com/watch?v=5v8VL-_k4U0,Stan Getz Quartet 1982 - Airegin,backyardjazz,Fluid bebop reading from a master tenor,musicbrainz,c01ee412-6b5a-4340-b064-745633fcef9d
_ZnpcbnXSes,Airegin,Sonny Rollins,Grant Green,Nigeria,1980,guitar combo,https://www.youtube.com/watch?v=_ZnpcbnXSes,Airegin,Grant Green,"Soulful, swinging guitar take",musicbrainz,22fe1c52-4680-44d2-9243-3e76b5438a45
vXkZrM2aNmA,Airegin,Sonny Rollins,Dexter Gordon,Ca’Purange (instrumental),1972,tenor saxophone quartet,https://www.youtube.com/watch?v=vXkZrM2aNmA,Airegin/ dexter gordon (1973),LEGACY MUSIC,Robust hard-bop interpretation,musicbrainz,8794b234-70ae-4080-a0a7-606ea1d57dd2
hp8LPKAtqqk,Airegin,Sonny Rollins,Chris Potter Quartet,Sundiata,1995,saxophone quartet,https://www.youtube.com/watch?v=hp8LPKAtqqk,Airegin,Chris Potter,Modern virtuosic reworking of the standard,musicbrainz,4b74349f-a704-4f3e-bfb2-f4c3ba1593b4
8fve__DB2og,Airegin,Sonny Rollins,Brad Mehldau Trio,Where Do You Start,2012,piano trio,https://www.youtube.com/watch?v=8fve__DB2og,Airegin,Brad Mehldau,Inventive contemporary piano trio version,musicbrainz,7ffab180-4e95-48e0-861a-ee52a1fb818d
-488UORrfJ0,All Blues,Miles Davis,Miles Davis Sextet,Kind of Blue,1959,sextet,https://www.youtube.com/watch?v=-488UORrfJ0,Miles Davis - All Blues (Audio) (Official Audio),Miles Davis,The original and definitive version from the landmark 1959 album,musicbrainz,b7ebe185-21e9-4400-a17a-3d0cee232925
F-Vc8y1doyw,All Blues,Miles Davis,"Herbie Hancock, Wayne Shorter, Ron Carter, Wallace Roney, Tony Williams",A Tribute to Miles Davis,2016,quintet,https://www.youtube.com/watch?v=F-Vc8y1doyw,"Tribute to Miles Davis by Herbie Hancock, Wayne Shorter, Ron Carter, Tony Williams, Wallace Roney",LOFTmusic,Former Miles sidemen revisit the tune with reverence,musicbrainz,37bf644e-e028-4e28-bff4-cb22b0f94046
1Y2bwnlErAE,All Blues,Miles Davis,"Oscar Peterson, Freddie Hubbard",Face to Face,1982,piano with trumpet,https://www.youtube.com/watch?v=1Y2bwnlErAE,Oscar Petterson & Freddie Hubbard - All Blues,tulupulu,Virtuosic pairing of piano master and trumpet great,musicbrainz,4145a8d9-537a-48b1-b6eb-53b711cab9ac
-dtCXBC1-CA,All Blues,Miles Davis,"Chet Baker, Jim Hall, Hubert Laws",Studio Trieste,1982,trumpet with guitar and flute,https://www.youtube.com/watch?v=-dtCXBC1-CA,"All Blues (Miles Davis) -- Chet Baker, Jim Hall, Hubert Laws",Ewa Chamiec. CzarMuzyki,Lyrical chamber-jazz reading with distinctive instrumentation,musicbrainz,bccf8b75-20ec-4190-96f7-7e45ded1db6b
r4ERcSqiJ5U,All Blues,Miles Davis,"World Saxophone Quartet, Jack DeJohnette",Selim Sivad: A Tribute to Miles Davis,1998,saxophone quartet with drums,https://www.youtube.com/watch?v=r4ERcSqiJ5U,All Blues,WORLD SAXOPHONE QUARTET Featuring JACK DEJOHNETTE - Topic,Bold reed-ensemble reharmonization,musicbrainz,8e628aae-144d-48a9-9507-57ce9a275e11
Ke0lIN5urgs,All Blues,Miles Davis,"Michel Petrucciani, Niels-Henning Ørsted Pedersen",Petrucciani NHØP,1994,piano-bass duo,https://www.youtube.com/watch?v=Ke0lIN5urgs,All Blues (Live),Michel Petrucciani - Topic,"Intimate, swinging duo interpretation",musicbrainz,0aadfeab-c2e7-4944-9e6c-aad57f849549
p1ipftv39YU,All Blues,Miles Davis,Kenny Burrell,Handcrafted,1978,guitar quartet,https://www.youtube.com/watch?v=p1ipftv39YU,All Blues- Kenny Burrell,jazzclarinet2006,Bluesy guitar-led treatment from a master of the idiom,musicbrainz,a09949ee-e374-4b82-94db-91fee39c3440
wfSDUoPhpvg,All Blues,Miles Davis,"George Coleman, Mike Stern, Ron Carter, Jimmy Cobb",4 Generations of Miles,2002,quartet,https://www.youtube.com/watch?v=wfSDUoPhpvg,"George Coleman, Jimmy Cobb, Mike Stern, Ron Carter - All Blues (Official Audio)",Chesky Records,Features Kind of Blue drummer Jimmy Cobb and saxophone heavyweight,musicbrainz,fcafad0a-e656-41f5-b94b-e0d8385a8da6
55Moa8fGC7w,All Of Me,Gerald Marks,Louis Armstrong and His Orchestra,V.S.O.P. Vol. 7/8,1974,vocal with big band,https://www.youtube.com/watch?v=55Moa8fGC7w,1932 HITS ARCHIVE: All Of Me - Louis Armstrong,The78Prof,Early definitive vocal/trumpet rendition by Armstrong,musicbrainz,6f31cdd1-0f22-43cd-afe4-921203d1b379
5J18k5Sx3Dw,All Of Me,Gerald Marks,Billie Holiday with Lester Young,Complete Recordings,2001,vocal with small group,https://www.youtube.com/watch?v=5J18k5Sx3Dw,Billie Holiday - All of Me (Official Audio),Billie Holiday,Holiday's signature reading with Lester Young,musicbrainz,a5ccf0dd-5e36-4328-8d09-a76aa93fb53d
hVPQWs8oxQ4,All Of Me,Gerald Marks,"Django Reinhardt, Quintette du Hot Club de France",All of Me / Swingtime in Springtime,1946,gypsy jazz string quintet,https://www.youtube.com/watch?v=hVPQWs8oxQ4,Django Legacy Band - All of Me,Henry Acker,Landmark European string-jazz interpretation,musicbrainz,dc85af0f-1ed0-4a74-9921-ae4cbec63941
2gfhQ91rwZ8,All Of Me,Gerald Marks,Frank Sinatra,I’m in the Mood for Love / Pennies From Heaven / All the Things You Are / All of Me,1944,vocal with orchestra,https://www.youtube.com/watch?v=2gfhQ91rwZ8,Frank Sinatra All of Me,H H,Classic swinging vocal arrangement,musicbrainz,4f053e7b-bccb-4f3c-8980-85c3e66af8b8
